1000 10000
878 96 6863
598 689 9226
306 223 2218
454 837 8867
546 251 4396
288 81 5487
793 473 9759
473 285 9634
15 117 5308
265 276 7540
747 154 1987
609 103 9675
834 408 4250
403 861 86
269 759 336
664 398 2417
502 191 6889
261 15 4173
246 29 641
553 294 1917
444 392 3422
430 1000 8876
456 185 284
705 587 1496
790 855 1254
478 871 1652
894 372 842
134 984 9856
658 581 8237
299 485 530
567 928 8921
988 709 272
215 517 7456
498 573 5394
994 715 248
247 192 5470
898 437 194
91 570 4177
947 227 6110
535 877 8594
64 443 1874
336 782 7934
959 997 6450
766 846 4375
159 839 5441
406 438 9984
228 687 420
421 778 6341
597 76 1919
58 610 7796
652 25 8590
525 712 1372
458 670 7720
260 435 1565
986 593 756
426 350 193
409 929 7879
828 349 1008
520 298 9435
438 355 5044
585 6 7420
175 882 9131
898 340 3152
617 951 6938
533 936 5882
288 361 6584
832 769 4512
63 948 9861
70 467 3158
505 256 6864
900 193 6870
320 719 7751
450 616 7442
954 584 2392
891 468 9679
773 756 2039
356 587 2159
867 649 4106
79 71 6924
236 575 2532
452 826 8724
321 145 442
423 947 5409
217 900 1344
608 790 9811
639 914 7918
677 269 5857
836 136 7857
293 566 4927
217 154 2853
100 605 6679
823 925 175
616 699 6121
376 915 372
719 875 7162
881 513 5075
799 541 696
7 728 2183
863 21 5748
142 589 901
994 688 4505
24 510 9781
551 477 4480
23 852 8746
395 922 4972
556 802 2836
982 952 4377
677 958 8104
211 821 8124
959 962 7712
859 307 5751
716 683 4612
496 585 1088
327 607 6939
425 1 6212
396 908 6014
232 242 3317
608 918 1275
63 481 447
539 439 9408
250 649 66
353 364 9100
964 212 6684
52 538 5291
342 962 1643
554 710 6551
919 941 7792
235 900 6061
509 314 3541
955 852 5979
714 454 628
132 806 8343
583 769 2554
267 820 444
909 514 4405
551 419 8466
453 337 6406
244 923 1657
305 784 5971
197 90 3822
528 804 5627
507 287 4432
849 869 1201
403 487 3372
846 747 7885
602 298 7303
68 102 3991
825 346 4914
834 2 7697
156 198 2786
329 77 5941
956 583 3579
739 432 8448
939 186 6286
663 383 6033
899 336 5682
554 755 1783
544 932 8480
809 765 5481
857 272 9031
995 600 5107
935 907 690
514 646 473
313 936 7010
950 598 4392
982 849 6079
15 402 7834
798 297 8765
277 458 6881
110 314 4504
492 308 5455
598 595 5362
639 460 1359
463 772 8294
472 73 2244
215 55 7444
294 421 4845
127 218 7493
243 847 3950
475 308 4616
978 799 5923
432 748 2869
145 387 6328
503 201 7451
149 673 2524
744 887 3930
187 180 7350
383 658 920
875 900 6766
177 374 3073
792 351 8871
66 135 5618
935 279 356
614 782 3557
65 282 8581
940 25 3467
869 563 6999
218 945 656
137 171 5908
254 347 9633
326 490 6336
548 908 1470
518 842 6748
225 807 9881
781 871 5514
361 810 9538
180 30 2100
530 248 4396
185 736 7567
444 990 8265
77 667 4755
412 215 5662
233 84 3855
980 308 5661
213 441 4884
726 801 4045
616 332 7075
67 861 7674
815 398 409
381 193 8398
645 269 1065
751 32 3631
412 264 1714
266 596 2021
279 160 4461
162 237 7614
558 204 1297
632 271 6158
305 85 1907
714 817 8099
463 461 720
879 212 9751
509 975 9367
222 593 6314
595 871 473
407 384 3709
20 941 1913
669 925 3535
826 229 2971
84 294 7787
534 109 2599
253 987 5810
356 496 2137
722 69 2729
35 663 9599
859 70 334
919 441 2626
183 109 3550
717 286 779
687 721 7424
825 255 5532
424 507 2519
585 214 8366
721 287 8434
449 321 7449
399 531 9870
