2000 40000
347 604 34062
391 503 17919
1896 1003 14561
149 843 39745
468 346 14656
1661 663 12898
457 1876 27014
633 638 22996
1922 1887 32105
458 1008 26769
655 1354 7724
716 1745 22578
987 1992 29932
1547 492 38775
1644 959 39472
299 972 4134
1548 1780 34009
913 765 16998
1908 686 34885
365 1143 20244
1133 1797 15950
1208 513 26046
1786 1851 24037
1717 1397 880
843 1040 38190
314 1338 29513
447 886 21293
808 150 26057
1805 58 11094
1041 774 26237
1285 258 26033
1234 1465 897
1279 1602 8747
1667 1319 20496
898 513 39535
1087 827 33225
600 1625 14462
244 432 6611
300 589 29020
1745 1629 33793
1981 1265 4050
366 498 27515
1262 128 3116
361 146 786
856 1043 19299
742 482 14477
1966 1081 34101
427 1324 24885
1390 1975 7473
409 1719 13101
202 52 18366
251 417 39215
117 30 21695
1585 742 26192
722 1949 13587
372 691 22068
848 656 37500
949 1435 1175
185 824 19149
1657 1232 15219
1109 1785 15622
1826 388 10038
1393 856 28420
1087 440 3161
1630 1514 31110
1216 1885 28152
1283 1085 31159
782 33 14593
1956 569 17768
1456 225 33352
1027 1333 15136
648 1159 3523
1038 551 18731
1809 1989 31170
1321 1970 27035
782 1186 32920
933 820 16004
92 1602 10388
1036 1909 956
1156 1717 31532
507 743 35216
1994 1742 26726
1517 1131 1628
599 939 21616
120 260 25586
1155 1041 27123
426 326 11942
781 769 13895
1520 1804 37804
827 959 15520
358 1817 38614
1573 1811 6355
299 1679 37838
1926 277 8776
1894 396 31387
1831 1550 16780
1305 1975 33105
1246 755 27873
1141 274 12028
944 1100 3339
815 1809 35155
1428 1734 38965
134 384 14643
1971 309 20919
1099 554 5315
485 736 31216
1616 40 15191
720 1286 2297
944 778 2923
1324 73 14374
662 887 24535
168 666 32268
1133 1151 20651
127 1474 31311
1398 572 2217
712 1408 38952
279 1024 1344
1821 95 28629
118 1391 3758
1392 714 11830
117 1727 24716
651 246 33733
1270 1378 8883
272 1857 24356
1583 1254 5279
1799 317 23039
1102 595 18062
445 416 12508
1425 885 34250
1182 276 18963
1363 744 39041
78 1747 13287
162 1016 17016
1397 1640 21224
104 1222 10477
1383 1372 22793
773 473 9388
1186 1270 21803
1693 694 18687
1943 228 39314
1257 1590 18057
650 20 12155
288 181 17523
1655 1577 11162
879 1681 24383
1355 1415 12106
148 187 20578
1887 1372 3847
1689 1416 26893
727 1710 13472
40 967 19061
448 1968 17432
603 255 9613
125 1909 33541
1286 1139 33573
20 494 11339
125 993 29877
1054 879 27248
1253 919 5016
145 1645 4725
1616 1684 38043
1028 131 20362
460 733 8616
424 1209 8877
316 846 2367
1889 865 6860
1227 989 34204
1104 395 21082
703 1647 22000
70 1791 11996
1147 1758 37679
1541 1137 26162
1903 1948 33246
870 371 36455
98 1039 3300
465 927 34517
1676 505 25857
1880 1960 34251
1313 1015 19897
1313 1436 6039
1660 582 6148
1339 123 39285
1852 25 39232
1097 1246 11955
1903 1344 30993
1203 1808 6271
71 1483 29127
1927 1362 13087
178 1027 14453
74 691 1888
465 350 12822
612 1688 8944
248 1891 3320
1832 988 4565
1786 890 17908
1130 444 2067
1752 514 3902
878 793 17615
316 970 20641
1120 1395 31331
1008 1859 21681
181 823 25720
1124 1070 29611
795 901 22950
1359 1038 5839
1619 519 10635
37 270 35500
1938 1148 26292
1905 1815 13613
545 935 21008
1876 294 7218
1908 474 18392
1627 1597 17462
1589 743 32714
538 453 39752
729 423 18622
1363 460 22892
862 749 34391
1506 653 26205
1118 1198 9139
477 1425 21432
47 1332 32257
790 1310 14205
251 899 6947
1317 1788 11400
1420 516 1822
41 1878 16633
932 1092 19734
1322 949 32386
1879 418 27935
1369 895 1359
1153 1293 7042
1409 82 34352
1614 685 25602
